"","category","name","reviewer","review","date","ratings"
"94","Makeup","1000 HOUR Eyelash and Brow Dye Kit, Brown/Black, 72 g","Really happy with this","I was pretty scared as I've got red hair and light eyebrows. I'd had them done professionally before and just recently but they needed doing and I wanted to try myself. Very easy to use. Doesn't seem like it mixes well, but I've used the brand for my eyelashes before and it was the same. I only left it on for 3 minutes as I didn't want to overdo it the first time. I was really surprised! The colour was perfect, medium brown which was a much better colour than I get done professionally. Much more natural. I used vaseline the first time to ensure I didn't get dye anywhere else (didn't bother the next time). I didn't get down to the roots and missed a couple so I touched it up about a week later. Once again, I didn't leave it on for long but so easy to quickly touch up. I'll leave it on longer next time, so it hopefully lasts longer as well. Don't think it's extremely long lasting but so quick/easy/cheap that it's worth it. The colour is much more natural for me so I'll continue to do it myself.","Reviewed in Australia on 13 November 2023","5.0 out of 5 stars"
"95","Makeup","1000 HOUR Eyelash and Brow Dye Kit, Brown/Black, 72 g","M. T. D. C. M.","Purchased this to try myself at homee as an alternative to paying salon prices every week.  First go and I was very impressed.  Great colour tone with no ginger pigments like some other products on the market (I purchased dark brown and it was exactly that).  Highly recommend buying for all those amateur beauticians, like myself, who don't wish to pay to get it done by someone else!","Reviewed in Australia on 30 January 2022","5.0 out of 5 stars"
"96","Makeup","1000 HOUR Eyelash and Brow Dye Kit, Brown/Black, 72 g","M. T. D. C. M.","I love 1000 hour have been using it for years. Always dyes the eyebrows well, lasts well and is easy to use. My biggest tip is do it 24hr before an event, as it will also mildly dye your skin so you might look a bit troll doll for that first day.Worth it tho,just as good as a professional brow tint but for a fraction of the cost.","Reviewed in Australia on 26 February 2023","5.0 out of 5 stars"
"97","Makeup","1000 HOUR Eyelash and Brow Dye Kit, Brown/Black, 72 g","Sarah","The colour is perfect but unfortunately does not cover grey hair","Reviewed in Australia on 29 July 2023","5.0 out of 5 stars"
"98","Makeup","1000 HOUR Eyelash and Brow Dye Kit, Brown/Black, 72 g","Steph","Fast shipping to NZ","Reviewed in Australia on 10 June 2023","4.0 out of 5 stars"
"99","Makeup","1000 HOUR Eyelash and Brow Dye Kit, Brown/Black, 72 g","Amazon Customer","As far as tints go this works fine and I get good use out of it for the price (more than 12 tints though I only do my brows). I always go through the dye tube faster than the developer solution but that was the same with Julienne (I used to get that in from the UK). This offers a darker black (blue black) so I switched back. Don't use the included plastic stick to apply it. Useless. I use a mascara spoolie. Clean an old one or buy a disposable pack for a couple of bucks. It's not hard to make a shape people just aren't doing it right. Slap it on, make a mess everywhere it doesn't matter. I don't even bother with Vaseline. Get some cotton buds and then make your shape afterwards by wiping off what you don't want. Boom. It takes me a few minutes to do my brows. Lashes, I hate tinting because I have white blond lashes and I can never get the root and my lashes are too sparse to bother with the 2 day eye redness that follows. As for lasting power, not great but then tints never did last for 6 weeks for me professional or otherwise. It's gotten worse this year. I don't know if it's the product or if it's my tretinoin stripping the dye.","Reviewed in Australia on 18 October 2023","5.0 out of 5 stars"
"100","Makeup","1000 HOUR Eyelash and Brow Dye Kit, Brown/Black, 72 g","Oxbart","I have bought this for years. Only product to use for at home eyebrow tinting.","Reviewed in Australia on 7 October 2023","5.0 out of 5 stars"
"101","Makeup","1000 HOUR Eyelash and Brow Dye Kit, Brown/Black, 72 g","ashleigh beer","I expected it to be a bit darker though","Reviewed in Australia on 22 January 2024","4.5 out of 5 stars"
"102","Makeup","1000 HOUR Eyelash and Brow Dye Kit, Brown/Black, 72 g","Oxbart","My go-to brow and lash dye","Reviewed in Australia on 18 October 2023","5.0 out of 5 stars"
"103","Makeup","1000 HOUR Eyelash and Brow Dye Kit, Brown/Black, 72 g","ashleigh beer","I have been using this product for several years now, and it does wonders for my eyebrows. The tinting lasts for several weeks, and it looks like the tint I used to have done at a salon before I started using this kit. This is so because the results look natural and polished and it doesn't tint my skin at all. The kit comes with everything you need, so you don't need any extra tool or container to develop and use the product. I sometimes use the product to tint the grey hairs around my temples.I have sensitive skin but I have never had any problem with this product.I have never used this for tinting my eyelashes, so I cannot comment on that.SO-SO1/ They seem to have changed the formula recently and the colouring doesn't last as much on my eyebrows and it is not as saturated as it used to be.2/ The quantity of accelerator and tinting cream is not balanced, so I usually finish the tube with the colouring and the developing liquid bottle is still half full.MINDAllow extra time if you have some grey hairs.","Reviewed in Australia on 22 January 2024","3.0 out of 5 stars"
"104","Makeup","1000 HOUR Eyelash and Brow Dye Kit, Brown/Black, 72 g","Really happy with this","I was pretty scared as I've got red hair and light eyebrows. I'd had them done professionally before and just recently but they needed doing and I wanted to try myself. Very easy to use. Doesn't seem like it mixes well, but I've used the brand for my eyelashes before and it was the same. I only left it on for 3 minutes as I didn't want to overdo it the first time. I was really surprised! The colour was perfect, medium brown which was a much better colour than I get done professionally. Much more natural. I used vaseline the first time to ensure I didn't get dye anywhere else (didn't bother the next time). I didn't get down to the roots and missed a couple so I touched it up about a week later. Once again, I didn't leave it on for long but so easy to quickly touch up. I'll leave it on longer next time, so it hopefully lasts longer as well. Don't think it's extremely long lasting but so quick/easy/cheap that it's worth it. The colour is much more natural for me so I'll continue to do it myself.","Reviewed in Australia on 13 November 2023","5.0 out of 5 stars"
"105","Makeup","1000 HOUR Eyelash and Brow Dye Kit, Brown/Black, 72 g","M. T. D. C. M.","Purchased this to try myself at homee as an alternative to paying salon prices every week.  First go and I was very impressed.  Great colour tone with no ginger pigments like some other products on the market (I purchased dark brown and it was exactly that).  Highly recommend buying for all those amateur beauticians, like myself, who don't wish to pay to get it done by someone else!","Reviewed in Australia on 30 January 2022","5.0 out of 5 stars"
"106","Makeup","1000 HOUR Eyelash and Brow Dye Kit, Brown/Black, 72 g","M. T. D. C. M.","I love 1000 hour have been using it for years. Always dyes the eyebrows well, lasts well and is easy to use. My biggest tip is do it 24hr before an event, as it will also mildly dye your skin so you might look a bit troll doll for that first day.Worth it tho,just as good as a professional brow tint but for a fraction of the cost.","Reviewed in Australia on 26 February 2023","5.0 out of 5 stars"
"107","Makeup","1000 HOUR Eyelash and Brow Dye Kit, Brown/Black, 72 g","Sarah","The colour is perfect but unfortunately does not cover grey hair","Reviewed in Australia on 29 July 2023","5.0 out of 5 stars"
"108","Makeup","1000 HOUR Eyelash and Brow Dye Kit, Brown/Black, 72 g","Steph","Fast shipping to NZ","Reviewed in Australia on 10 June 2023","4.0 out of 5 stars"
"109","Makeup","1000 HOUR Eyelash and Brow Dye Kit, Brown/Black, 72 g","Amazon Customer","As far as tints go this works fine and I get good use out of it for the price (more than 12 tints though I only do my brows). I always go through the dye tube faster than the developer solution but that was the same with Julienne (I used to get that in from the UK). This offers a darker black (blue black) so I switched back. Don't use the included plastic stick to apply it. Useless. I use a mascara spoolie. Clean an old one or buy a disposable pack for a couple of bucks. It's not hard to make a shape people just aren't doing it right. Slap it on, make a mess everywhere it doesn't matter. I don't even bother with Vaseline. Get some cotton buds and then make your shape afterwards by wiping off what you don't want. Boom. It takes me a few minutes to do my brows. Lashes, I hate tinting because I have white blond lashes and I can never get the root and my lashes are too sparse to bother with the 2 day eye redness that follows. As for lasting power, not great but then tints never did last for 6 weeks for me professional or otherwise. It's gotten worse this year. I don't know if it's the product or if it's my tretinoin stripping the dye.","Reviewed in Australia on 18 October 2023","5.0 out of 5 stars"
"110","Makeup","1000 HOUR Eyelash and Brow Dye Kit, Brown/Black, 72 g","Oxbart","I have bought this for years. Only product to use for at home eyebrow tinting.","Reviewed in Australia on 7 October 2023","5.0 out of 5 stars"
"111","Makeup","1000 HOUR Eyelash and Brow Dye Kit, Brown/Black, 72 g","ashleigh beer","I expected it to be a bit darker though","Reviewed in Australia on 22 January 2024","4.5 out of 5 stars"
"112","Makeup","1000 HOUR Eyelash and Brow Dye Kit, Brown/Black, 72 g","Oxbart","My go-to brow and lash dye","Reviewed in Australia on 18 October 2023","5.0 out of 5 stars"
"113","Makeup","1000 HOUR Eyelash and Brow Dye Kit, Brown/Black, 72 g","ashleigh beer","I have been using this product for several years now, and it does wonders for my eyebrows. The tinting lasts for several weeks, and it looks like the tint I used to have done at a salon before I started using this kit. This is so because the results look natural and polished and it doesn't tint my skin at all. The kit comes with everything you need, so you don't need any extra tool or container to develop and use the product. I sometimes use the product to tint the grey hairs around my temples.I have sensitive skin but I have never had any problem with this product.I have never used this for tinting my eyelashes, so I cannot comment on that.SO-SO1/ They seem to have changed the formula recently and the colouring doesn't last as much on my eyebrows and it is not as saturated as it used to be.2/ The quantity of accelerator and tinting cream is not balanced, so I usually finish the tube with the colouring and the developing liquid bottle is still half full.MINDAllow extra time if you have some grey hairs.","Reviewed in Australia on 22 January 2024","3.0 out of 5 stars"
"114","Makeup","1000 HOUR Eyelash and Brow Dye Kit, Brown/Black, 72 g","Really happy with this","I was pretty scared as I've got red hair and light eyebrows. I'd had them done professionally before and just recently but they needed doing and I wanted to try myself. Very easy to use. Doesn't seem like it mixes well, but I've used the brand for my eyelashes before and it was the same. I only left it on for 3 minutes as I didn't want to overdo it the first time. I was really surprised! The colour was perfect, medium brown which was a much better colour than I get done professionally. Much more natural. I used vaseline the first time to ensure I didn't get dye anywhere else (didn't bother the next time). I didn't get down to the roots and missed a couple so I touched it up about a week later. Once again, I didn't leave it on for long but so easy to quickly touch up. I'll leave it on longer next time, so it hopefully lasts longer as well. Don't think it's extremely long lasting but so quick/easy/cheap that it's worth it. The colour is much more natural for me so I'll continue to do it myself.","Reviewed in Australia on 13 November 2023","5.0 out of 5 stars"
"115","Makeup","1000 HOUR Eyelash and Brow Dye Kit, Brown/Black, 72 g","M. T. D. C. M.","Purchased this to try myself at homee as an alternative to paying salon prices every week.  First go and I was very impressed.  Great colour tone with no ginger pigments like some other products on the market (I purchased dark brown and it was exactly that).  Highly recommend buying for all those amateur beauticians, like myself, who don't wish to pay to get it done by someone else!","Reviewed in Australia on 30 January 2022","5.0 out of 5 stars"
"116","Makeup","1000 HOUR Eyelash and Brow Dye Kit, Brown/Black, 72 g","M. T. D. C. M.","I love 1000 hour have been using it for years. Always dyes the eyebrows well, lasts well and is easy to use. My biggest tip is do it 24hr before an event, as it will also mildly dye your skin so you might look a bit troll doll for that first day.Worth it tho,just as good as a professional brow tint but for a fraction of the cost.","Reviewed in Australia on 26 February 2023","5.0 out of 5 stars"
"117","Makeup","1000 HOUR Eyelash and Brow Dye Kit, Brown/Black, 72 g","Sarah","The colour is perfect but unfortunately does not cover grey hair","Reviewed in Australia on 29 July 2023","5.0 out of 5 stars"
"118","Makeup","1000 HOUR Eyelash and Brow Dye Kit, Brown/Black, 72 g","Steph","Fast shipping to NZ","Reviewed in Australia on 10 June 2023","4.0 out of 5 stars"
"119","Makeup","1000 HOUR Eyelash and Brow Dye Kit, Brown/Black, 72 g","Amazon Customer","As far as tints go this works fine and I get good use out of it for the price (more than 12 tints though I only do my brows). I always go through the dye tube faster than the developer solution but that was the same with Julienne (I used to get that in from the UK). This offers a darker black (blue black) so I switched back. Don't use the included plastic stick to apply it. Useless. I use a mascara spoolie. Clean an old one or buy a disposable pack for a couple of bucks. It's not hard to make a shape people just aren't doing it right. Slap it on, make a mess everywhere it doesn't matter. I don't even bother with Vaseline. Get some cotton buds and then make your shape afterwards by wiping off what you don't want. Boom. It takes me a few minutes to do my brows. Lashes, I hate tinting because I have white blond lashes and I can never get the root and my lashes are too sparse to bother with the 2 day eye redness that follows. As for lasting power, not great but then tints never did last for 6 weeks for me professional or otherwise. It's gotten worse this year. I don't know if it's the product or if it's my tretinoin stripping the dye.","Reviewed in Australia on 18 October 2023","5.0 out of 5 stars"
"120","Makeup","1000 HOUR Eyelash and Brow Dye Kit, Brown/Black, 72 g","Oxbart","I have bought this for years. Only product to use for at home eyebrow tinting.","Reviewed in Australia on 7 October 2023","5.0 out of 5 stars"
"121","Makeup","NYX Professional Makeup, Shadow Palette, 16 Matte, Satin and Metallic Shades, Warm Neutrals, 0.83 g","The pack that arrived had been opened and the middle brush was missing. I sent it back straight away! Disappointing!","Quick delivery. Good quality and nice colors","Reviewed in Australia on 2 May 2023","4.5 out of 5 stars"
"122","Makeup","NYX Professional Makeup, Shadow Palette, 16 Matte, Satin and Metallic Shades, Warm Neutrals, 0.83 g","Product is good, but poorly packaged.","Product arrived ahead of schedule . Is exactly what i ordered. Great little palette too","Reviewed in Australia on 29 November 2023","5.0 out of 5 stars"
"123","Makeup","NYX Professional Makeup, Shadow Palette, 16 Matte, Satin and Metallic Shades, Warm Neutrals, 0.83 g","The pack that arrived had been opened and the middle brush was missing. I sent it back straight away! Disappointing!","A good product, nice and bright","Reviewed in Australia on 2 May 2023","3.0 out of 5 stars"
"124","Makeup","NYX Professional Makeup, Shadow Palette, 16 Matte, Satin and Metallic Shades, Warm Neutrals, 0.83 g","Janet Mcdonald","Really great colours and they last all day!","Reviewed in Australia on 23 December 2022","5.0 out of 5 stars"
"125","Makeup","NYX Professional Makeup, Shadow Palette, 16 Matte, Satin and Metallic Shades, Warm Neutrals, 0.83 g","Trace mussger","Very wearable colours, lots to play with and trial with, even the darkest red doesn’t look insane for everyday wear if applied gently and blended well. Great for beginners","Reviewed in Australia on 17 January 2023","5.0 out of 5 stars"
"126","Makeup","NYX Professional Makeup, Shadow Palette, 16 Matte, Satin and Metallic Shades, Warm Neutrals, 0.83 g","Lauren  Hellner","For everyday use, it has nice neutral colours. Good quality. I like all the shades of it!","Reviewed in Australia on 6 August 2023","4.0 out of 5 stars"
"127","Makeup","NYX Professional Makeup, Shadow Palette, 16 Matte, Satin and Metallic Shades, Warm Neutrals, 0.83 g","AC","Product is good, but poorly packaged. It arrived broken in some parts.","Reviewed in Australia on 13 October 2022","5.0 out of 5 stars"
"128","Makeup","NYX Professional Makeup, Shadow Palette, 16 Matte, Satin and Metallic Shades, Warm Neutrals, 0.83 g","Kirti Madan","Like all the colours","Reviewed in Australia on 2 October 2022","5.0 out of 5 stars"
"129","Makeup","NYX Professional Makeup, Shadow Palette, 16 Matte, Satin and Metallic Shades, Warm Neutrals, 0.83 g","Product is good, but poorly packaged.","The product is great but I struggle to use the colours as they are reds and browns.. I like those colours but not a whole pellet","Reviewed in Australia on 29 November 2023","5.0 out of 5 stars"
"130","Makeup","NYX Professional Makeup, Shadow Palette, 16 Matte, Satin and Metallic Shades, Warm Neutrals, 0.83 g","Product is good, but poorly packaged.","This product is very unpigmented and found it really hard to build it up.The colours don't show up well on light brown skin.The colours that do show up are too warm for neutral or cool toned skin.","Reviewed in Australia on 2 January 2023","3.0 out of 5 stars"
"131","Makeup","NYX Professional Makeup, Shadow Palette, 16 Matte, Satin and Metallic Shades, Warm Neutrals, 0.83 g","The pack that arrived had been opened and the middle brush was missing. I sent it back straight away! Disappointing!","Quick delivery. Good quality and nice colors","Reviewed in Australia on 2 May 2023","4.5 out of 5 stars"
"132","Makeup","NYX Professional Makeup, Shadow Palette, 16 Matte, Satin and Metallic Shades, Warm Neutrals, 0.83 g","Product is good, but poorly packaged.","Product arrived ahead of schedule . Is exactly what i ordered. Great little palette too","Reviewed in Australia on 29 November 2023","5.0 out of 5 stars"
"133","Makeup","NYX Professional Makeup, Shadow Palette, 16 Matte, Satin and Metallic Shades, Warm Neutrals, 0.83 g","The pack that arrived had been opened and the middle brush was missing. I sent it back straight away! Disappointing!","A good product, nice and bright","Reviewed in Australia on 2 May 2023","3.0 out of 5 stars"
"134","Makeup","NYX Professional Makeup, Shadow Palette, 16 Matte, Satin and Metallic Shades, Warm Neutrals, 0.83 g","Janet Mcdonald","Really great colours and they last all day!","Reviewed in Australia on 23 December 2022","5.0 out of 5 stars"
"135","Makeup","NYX Professional Makeup, Shadow Palette, 16 Matte, Satin and Metallic Shades, Warm Neutrals, 0.83 g","Trace mussger","Very wearable colours, lots to play with and trial with, even the darkest red doesn’t look insane for everyday wear if applied gently and blended well. Great for beginners","Reviewed in Australia on 17 January 2023","5.0 out of 5 stars"
"136","Makeup","NYX Professional Makeup, Shadow Palette, 16 Matte, Satin and Metallic Shades, Warm Neutrals, 0.83 g","Lauren  Hellner","For everyday use, it has nice neutral colours. Good quality. I like all the shades of it!","Reviewed in Australia on 6 August 2023","4.0 out of 5 stars"
"137","Makeup","NYX Professional Makeup, Shadow Palette, 16 Matte, Satin and Metallic Shades, Warm Neutrals, 0.83 g","AC","Product is good, but poorly packaged. It arrived broken in some parts.","Reviewed in Australia on 13 October 2022","5.0 out of 5 stars"
"138","Makeup","NYX Professional Makeup, Shadow Palette, 16 Matte, Satin and Metallic Shades, Warm Neutrals, 0.83 g","Kirti Madan","Like all the colours","Reviewed in Australia on 2 October 2022","5.0 out of 5 stars"
"139","Makeup","NYX Professional Makeup, Shadow Palette, 16 Matte, Satin and Metallic Shades, Warm Neutrals, 0.83 g","Product is good, but poorly packaged.","The product is great but I struggle to use the colours as they are reds and browns.. I like those colours but not a whole pellet","Reviewed in Australia on 29 November 2023","5.0 out of 5 stars"
"140","Makeup","NYX Professional Makeup, Shadow Palette, 16 Matte, Satin and Metallic Shades, Warm Neutrals, 0.83 g","Product is good, but poorly packaged.","This product is very unpigmented and found it really hard to build it up.The colours don't show up well on light brown skin.The colours that do show up are too warm for neutral or cool toned skin.","Reviewed in Australia on 2 January 2023","3.0 out of 5 stars"
"141","Makeup","NYX Professional Makeup, Shadow Palette, 16 Matte, Satin and Metallic Shades, Warm Neutrals, 0.83 g","The pack that arrived had been opened and the middle brush was missing. I sent it back straight away! Disappointing!","Quick delivery. Good quality and nice colors","Reviewed in Australia on 2 May 2023","4.5 out of 5 stars"
"142","Makeup","NYX Professional Makeup, Shadow Palette, 16 Matte, Satin and Metallic Shades, Warm Neutrals, 0.83 g","Product is good, but poorly packaged.","Product arrived ahead of schedule . Is exactly what i ordered. Great little palette too","Reviewed in Australia on 29 November 2023","5.0 out of 5 stars"
"143","Makeup","NYX Professional Makeup, Shadow Palette, 16 Matte, Satin and Metallic Shades, Warm Neutrals, 0.83 g","The pack that arrived had been opened and the middle brush was missing. I sent it back straight away! Disappointing!","A good product, nice and bright","Reviewed in Australia on 2 May 2023","3.0 out of 5 stars"
"144","Makeup","NYX Professional Makeup, Shadow Palette, 16 Matte, Satin and Metallic Shades, Warm Neutrals, 0.83 g","Janet Mcdonald","Really great colours and they last all day!","Reviewed in Australia on 23 December 2022","5.0 out of 5 stars"
"145","Makeup","NYX Professional Makeup, Shadow Palette, 16 Matte, Satin and Metallic Shades, Warm Neutrals, 0.83 g","Trace mussger","Very wearable colours, lots to play with and trial with, even the darkest red doesn’t look insane for everyday wear if applied gently and blended well. Great for beginners","Reviewed in Australia on 17 January 2023","5.0 out of 5 stars"
"146","Makeup","NYX Professional Makeup, Shadow Palette, 16 Matte, Satin and Metallic Shades, Warm Neutrals, 0.83 g","Lauren  Hellner","For everyday use, it has nice neutral colours. Good quality. I like all the shades of it!","Reviewed in Australia on 6 August 2023","4.0 out of 5 stars"
"147","Makeup","NYX Professional Makeup, Shadow Palette, 16 Matte, Satin and Metallic Shades, Warm Neutrals, 0.83 g","AC","Product is good, but poorly packaged. It arrived broken in some parts.","Reviewed in Australia on 13 October 2022","5.0 out of 5 stars"
"148","Makeup","NYX Professional Makeup, Shadow Palette, 16 Matte, Satin and Metallic Shades, Warm Neutrals, 0.83 g","Kirti Madan","Like all the colours","Reviewed in Australia on 2 October 2022","5.0 out of 5 stars"
"149","Makeup","NYX Professional Makeup, Shadow Palette, 16 Matte, Satin and Metallic Shades, Warm Neutrals, 0.83 g","Product is good, but poorly packaged.","The product is great but I struggle to use the colours as they are reds and browns.. I like those colours but not a whole pellet","Reviewed in Australia on 29 November 2023","5.0 out of 5 stars"
"150","Makeup","NYX Professional Makeup, Shadow Palette, 16 Matte, Satin and Metallic Shades, Warm Neutrals, 0.83 g","Product is good, but poorly packaged.","This product is very unpigmented and found it really hard to build it up.The colours don't show up well on light brown skin.The colours that do show up are too warm for neutral or cool toned skin.","Reviewed in Australia on 2 January 2023","3.0 out of 5 stars"
"151","Luggage","SHOWKOO Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock 4pcs, Family Set-Orange","a buyer","Great quality and looks beautiful","Reviewed in Australia on 16 February 2024","4.5 out of 5 stars"
"152","Luggage","SHOWKOO Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock 4pcs, Family Set-Orange","Kate","survived first overseas travel without much fussLargest of 3 looks a bit small compared to other brand suitcases","Reviewed in Australia on 28 February 2024","5.0 out of 5 stars"
"153","Luggage","SHOWKOO Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock 4pcs, Family Set-Orange","a buyer","For the pice this set it’s awesome, the quality to materials that’s perfect","Reviewed in Australia on 16 February 2024","2.0 out of 5 stars"
"154","Luggage","SHOWKOO Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock 4pcs, Family Set-Orange","vijay challa","purchased as a present for someone for their first overseas trip. Pink is their favourite colour.Popular Brand on Amazon and great reviews. Look good feels very sturdy.  Price for a set of 3 was great. Will have to wait and see for the outcome after the trip","Reviewed in Australia on 19 December 2023","5.0 out of 5 stars"
"155","Luggage","SHOWKOO Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock 4pcs, Family Set-Orange","Sebastián P.","Excellent quality,arrived a week early ,very happy with it all","Reviewed in Australia on 6 February 2024","5.0 out of 5 stars"
"156","Luggage","SHOWKOO Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock 4pcs, Family Set-Orange","Sebastián P.","this luggage is of very good quality, I was surprised by its size, well made and big enough for 4 people, very speedy delivery , I love AMAZON","Reviewed in Australia on 19 February 2024","5.0 out of 5 stars"
"157","Luggage","SHOWKOO Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock 4pcs, Family Set-Orange","Dloz","The blue color is more lightning than the photos. But nice made.","Reviewed in Australia on 3 February 2024","5.0 out of 5 stars"
"158","Luggage","SHOWKOO Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock 4pcs, Family Set-Orange","Kindle Customer","Bought it last month!! My first usage was excellent! It got dropped couple of time but didn’t crack nor break , just scratched.","Reviewed in Australia on 28 December 2023","4.0 out of 5 stars"
"159","Luggage","SHOWKOO Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock 4pcs, Family Set-Orange","sam costandi","Courier Company used was not good, product pretty happy with though.","Reviewed in Australia on 9 January 2024","5.0 out of 5 stars"
"160","Luggage","SHOWKOO Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock 4pcs, Family Set-Orange","Jonathan","Soooo light and good value for money","Reviewed in Australia on 16 January 2024","5.0 out of 5 stars"
"161","Luggage","SHOWKOO Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock 4pcs, Family Set-Orange","a buyer","Great quality and looks beautiful","Reviewed in Australia on 16 February 2024","4.5 out of 5 stars"
"162","Luggage","SHOWKOO Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock 4pcs, Family Set-Orange","Kate","survived first overseas travel without much fussLargest of 3 looks a bit small compared to other brand suitcases","Reviewed in Australia on 28 February 2024","5.0 out of 5 stars"
"163","Luggage","SHOWKOO Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock 4pcs, Family Set-Orange","a buyer","For the pice this set it’s awesome, the quality to materials that’s perfect","Reviewed in Australia on 16 February 2024","2.0 out of 5 stars"
"164","Luggage","SHOWKOO Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock 4pcs, Family Set-Orange","vijay challa","purchased as a present for someone for their first overseas trip. Pink is their favourite colour.Popular Brand on Amazon and great reviews. Look good feels very sturdy.  Price for a set of 3 was great. Will have to wait and see for the outcome after the trip","Reviewed in Australia on 19 December 2023","5.0 out of 5 stars"
"165","Luggage","SHOWKOO Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock 4pcs, Family Set-Orange","Sebastián P.","Excellent quality,arrived a week early ,very happy with it all","Reviewed in Australia on 6 February 2024","5.0 out of 5 stars"
"166","Luggage","SHOWKOO Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock 4pcs, Family Set-Orange","Sebastián P.","this luggage is of very good quality, I was surprised by its size, well made and big enough for 4 people, very speedy delivery , I love AMAZON","Reviewed in Australia on 19 February 2024","5.0 out of 5 stars"
"167","Luggage","SHOWKOO Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock 4pcs, Family Set-Orange","Dloz","The blue color is more lightning than the photos. But nice made.","Reviewed in Australia on 3 February 2024","5.0 out of 5 stars"
"168","Luggage","SHOWKOO Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock 4pcs, Family Set-Orange","Kindle Customer","Bought it last month!! My first usage was excellent! It got dropped couple of time but didn’t crack nor break , just scratched.","Reviewed in Australia on 28 December 2023","4.0 out of 5 stars"
"169","Luggage","SHOWKOO Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock 4pcs, Family Set-Orange","sam costandi","Courier Company used was not good, product pretty happy with though.","Reviewed in Australia on 9 January 2024","5.0 out of 5 stars"
"170","Luggage","SHOWKOO Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock 4pcs, Family Set-Orange","Jonathan","Soooo light and good value for money","Reviewed in Australia on 16 January 2024","5.0 out of 5 stars"
"171","Luggage","SHOWKOO Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock 4pcs, Family Set-Orange","a buyer","Great quality and looks beautiful","Reviewed in Australia on 16 February 2024","4.5 out of 5 stars"
"172","Luggage","SHOWKOO Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock 4pcs, Family Set-Orange","Kate","survived first overseas travel without much fussLargest of 3 looks a bit small compared to other brand suitcases","Reviewed in Australia on 28 February 2024","5.0 out of 5 stars"
"173","Luggage","SHOWKOO Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock 4pcs, Family Set-Orange","a buyer","For the pice this set it’s awesome, the quality to materials that’s perfect","Reviewed in Australia on 16 February 2024","2.0 out of 5 stars"
"174","Luggage","SHOWKOO Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock 4pcs, Family Set-Orange","vijay challa","purchased as a present for someone for their first overseas trip. Pink is their favourite colour.Popular Brand on Amazon and great reviews. Look good feels very sturdy.  Price for a set of 3 was great. Will have to wait and see for the outcome after the trip","Reviewed in Australia on 19 December 2023","5.0 out of 5 stars"
"175","Luggage","SHOWKOO Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock 4pcs, Family Set-Orange","Sebastián P.","Excellent quality,arrived a week early ,very happy with it all","Reviewed in Australia on 6 February 2024","5.0 out of 5 stars"
"176","Luggage","SHOWKOO Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock 4pcs, Family Set-Orange","Sebastián P.","this luggage is of very good quality, I was surprised by its size, well made and big enough for 4 people, very speedy delivery , I love AMAZON","Reviewed in Australia on 19 February 2024","5.0 out of 5 stars"
"177","Luggage","SHOWKOO Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock 4pcs, Family Set-Orange","Dloz","The blue color is more lightning than the photos. But nice made.","Reviewed in Australia on 3 February 2024","5.0 out of 5 stars"
"178","Luggage","SHOWKOO Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock 4pcs, Family Set-Orange","Kindle Customer","Bought it last month!! My first usage was excellent! It got dropped couple of time but didn’t crack nor break , just scratched.","Reviewed in Australia on 28 December 2023","4.0 out of 5 stars"
"179","Luggage","SHOWKOO Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock 4pcs, Family Set-Orange","sam costandi","Courier Company used was not good, product pretty happy with though.","Reviewed in Australia on 9 January 2024","5.0 out of 5 stars"
