"","title","author","subject","abstract","date"
"37","effects of term weighting approach with and without stop words removing on arabic text classification","esra'a alhenawi, ruba abu khurma, pedro a. castillo, maribel g. arenas","computation and language","classifying text is a method for categorizing documents into pre-established groups. text documents must be prepared and represented in a way that is appropriate for the algorithms used for data mining prior to classification. as a result, a number of term weighting strategies have been created in the literature to enhance text categorization algorithms' functionality. this study compares the effects of binary and term frequency weighting feature methodologies on the text's classification method when stop words are eliminated once and when they are not. in recognition of assessing the effects of prior weighting of features approaches on classification results in terms of accuracy, recall, precision, and f-measure values, we used an arabic data set made up of 322 documents divided into six main topics (agriculture, economy, health, politics, science, and sport), each of which contains 50 documents, with the exception of the health category, which contains 61 documents. the results demonstrate that for all metrics, the term frequency feature weighting approach with stop word removal outperforms the binary approach, while for accuracy, recall, and f-measure, the binary approach outperforms the tf approach without stop word removal. however, for precision, the two approaches produce results that are very similar. additionally, it is clear from the data that, using the same phrase weighting approach, stop word removing increases classification accuracy.",2024-02-21
"38","edge computing for iot","balqees talal hasan, ali kadhum idrees","networking and internet architecture","over the past few years, the idea of edge computing has seen substantial expansion in both academic and industrial circles. this computing approach has garnered attention due to its integrating role in advancing various state-of-the-art technologies such as internet of things (iot) , 5g, artificial intelligence, and augmented reality. in this chapter, we introduce computing paradigms for iot, offering an overview of the current cutting-edge computing approaches that can be used with iot. furthermore, we go deeper into edge computing paradigms, specifically focusing on cloudlet and mobile edge computing. after that, we investigate the architecture of edge computing-based iot, its advantages, and the technologies that make edge computing-based iot possible, including artificial intelligence and lightweight virtualization. additionally, we review real-life case studies of how edge computing is applied in iot-based intelligent systems, including areas like healthcare, manufacturing, agriculture, and transportation. finally, we discuss current research obstacles and outline potential future directions for further investigation in this domain.",2024-02-20
"39","explaining the emergence of land-use frontiers","patrick meyfroidt, dilini abeygunawardane, matthias baumann, adia bey, ana buchadas, cristina chiarella, victoria junquera, angela kronenburg garcía, tobias kuemmerle, yann le polain de waroux, eduardo oliveira, michelle picoli, siyu qin, virginia rodriguez garcía, philippe rufin","general economics","land use expansion is linked to major sustainability concerns including climate change, food security and biodiversity loss. this expansion is largely concentrated in so-called frontiers, defined here as places experiencing marked transformations due to rapid resource exploitation. understanding the mechanisms shaping these frontiers is crucial for sustainability. previous work focused mainly on explaining how active frontiers advance, in particular into tropical forests. comparatively, our understanding of how frontiers emerge in territories considered marginal in terms of agricultural productivity and global market integration remains weak. we synthesize conceptual tools explaining resource and land-use frontiers, including theories of land rent and agglomeration economies, of frontiers as successive waves, spaces of territorialization, friction, and opportunities, anticipation and expectation. we then propose a new theory of frontier emergence, which identifies exogenous pushes, legacies of past waves, and actors anticipations as key mechanisms by which frontiers emerge. processes of abnormal rent creation and capture and the built-up of agglomeration economies then constitute key mechanisms sustaining active frontiers. finally, we discuss five implications for the governance of frontiers for sustainability. our theory focuses on agriculture and deforestation frontiers in the tropics, but can be inspirational for other frontier processes including for extractive resources, such as minerals.",2024-02-19
"40","navigating simplicity and complexity of social-ecological systems through a dialog between dynamical systems and agent-based models","sonja radosavljevic, udita sanga, maja schlüter","multiagent systems","social-ecological systems (ses) research aims to understand the nature of social-ecological phenomena, to find effective ways to foster or manage conditions under which desirable phenomena, such as sustainable resource use, occur or to change conditions or reduce the negative consequences of undesirable phenomena, such as poverty traps. challenges such as these are often addressed using dynamical systems models (dsm) or agent-based models (abm). both modeling approaches have strengths and weaknesses. dsm are praised for their analytical tractability and efficient exploration of asymptotic dynamics and bifurcation, which are enabled by reduced number and heterogeneity of system components. abm allows representing heterogeneity, agency, learning and interactions of diverse agents within ses, but this also comes at a price such as inefficiency to explore asymptotic dynamics or bifurcations. in this paper we combine dsm and abm to leverage strengths of each modeling technique and gain deeper insights into dynamics of a system. we start with an abm and research questions that the abm was not able to answer. using results of the abm analysis as inputs for dsm, we create a dsm. stability and bifurcation analysis of the dsm gives partial answers to the research questions and direct attention to where additional details are needed. this informs further abm analysis, prevents burdening the abm with less important details and reveals new insights about system dynamics. the iterative process and dialogue between the abm and dsm leads to more complete answers to research questions and surpasses insights provided by each of the models separately. we illustrate the procedure with the example of the emergence of poverty traps in an agricultural system with endogenously driven innovation.",2024-02-19
"41","challenging the black box: a comprehensive evaluation of attribution maps of cnn applications in agriculture and forestry","lars nieradzik, henrike stephani, jördis sieburg-rockel, stephanie helmling, andrea olbrich, janis keuper","computer vision and pattern recognition","in this study, we explore the explainability of neural networks in agriculture and forestry, specifically in fertilizer treatment classification and wood identification. the opaque nature of these models, often considered 'black boxes', is addressed through an extensive evaluation of state-of-the-art attribution maps (ams), also known as class activation maps (cams) or saliency maps. our comprehensive qualitative and quantitative analysis of these ams uncovers critical practical limitations. findings reveal that ams frequently fail to consistently highlight crucial features and often misalign with the features considered important by domain experts. these discrepancies raise substantial questions about the utility of ams in understanding the decision-making process of neural networks. our study provides critical insights into the trustworthiness and practicality of ams within the agriculture and forestry sectors, thus facilitating a better understanding of neural networks in these application areas.",2024-02-18
"42","from parcels to people: development of a spatially explicit risk indicator to monitor residential pesticide exposure in agricultural areas","francesco galimberti (1), stephanie bopp (1), alessandro carletti (1), rui catarino (1), martin claverie (1), pietro florio (1), alessio ippolito (2), arwyn jones (1), flavio marchetto (3), michael olvedy (1), alberto pistocchi (1), astrid verhegghen (1), marijn van der velde (1), diana vieira (1), raphael d'andrimont (4) ((1) european commission, joint research centre (jrc), ispra, italy (2) european food safety authority (efsa), parma, italy (3) european chemicals agency (echa), helsinki, finland (4) european commission, joint research centre (jrc), brussels, belgium)","quantitative methods","the increase in global pesticide use has mirrored the rising demand for food over the last decades, resulting in a boost in crop yields. however, concerns about the impact of pesticides on biodiversity, ecosystems, and human health, especially for populations residing close to cultivated areas, are growing. this study investigates how exposure and possible risks to residents can be estimated at high spatial granularity based on plant protection product data. the complexities of such analysis were explored in france, where relevant data with good granularity are publicly available. integrating sets of spatial datasets and exposure assessment methodologies, we have developed an indicator to monitor the levels of pesticide risk faced by residents. by spatialising pesticide sales data according to their authorization on specific crops, we developed a detailed map depicting potential pesticide loads at parcel level across france. this spatial distribution served as the basis for an exposure and risk assessment, modelled following the european food safety authority's guidelines. combining the risk map with population distribution data, we have developed an indicator that allows to monitor patterns in non-dietary exposure to pesticides. our results show that in france, on average, 13% of people might be exposed to pesticides due to living in the proximity to treated crops. this exposure is in the lower range for 34%, moderate range for 40% and higher range for 25% of the exposed population. the risk evaluation is based on worst case assumptions and values should not be taken as a regulatory risk assessment but as indicator to use, for example, for monitoring time trends. the purpose of this indicator is to demonstrate that more granular pesticide data can improve risk reduction strategies. harmonized and high-resolution data can help in identifying regions where to focus on sustainable farming.",2024-02-16
"43","evaluating nerfs for 3d plant geometry reconstruction in field conditions","muhammad arbab arshad, talukder jubery, james afful, anushrut jignasu, aditya balu, baskar ganapathysubramanian, soumik sarkar, adarsh krishnamurthy","computer vision and pattern recognition","we evaluate different neural radiance fields (nerfs) techniques for reconstructing (3d) plants in varied environments, from indoor settings to outdoor fields. traditional techniques often struggle to capture the complex details of plants, which is crucial for botanical and agricultural understanding. we evaluate three scenarios with increasing complexity and compare the results with the point cloud obtained using lidar as ground truth data. in the most realistic field scenario, the nerf models achieve a 74.65% f1 score with 30 minutes of training on the gpu, highlighting the efficiency and accuracy of nerfs in challenging environments. these findings not only demonstrate the potential of nerf in detailed and realistic 3d plant modeling but also suggest practical approaches for enhancing the speed and efficiency of the 3d reconstruction process.",2024-02-15
"44","pheno-robot: an auto-digital modelling system for in-situ phenotyping in the field","yaoqiang pan, kewei hu, tianhao liu, chao chen, hanwen kang","robotics","accurate reconstruction of plant models for phenotyping analysis is critical for optimising sustainable agricultural practices in precision agriculture. traditional laboratory-based phenotyping, while valuable, falls short of understanding how plants grow under uncontrolled conditions. robotic technologies offer a promising avenue for large-scale, direct phenotyping in real-world environments. this study explores the deployment of emerging robotics and digital technology in plant phenotyping to improve performance and efficiency. three critical functional modules: environmental understanding, robotic motion planning, and in-situ phenotyping, are introduced to automate the entire process. experimental results demonstrate the effectiveness of the system in agricultural environments. the pheno-robot system autonomously collects high-quality data by navigating around plants. in addition, the in-situ modelling model reconstructs high-quality plant models from the data collected by the robot. the developed robotic system shows high efficiency and robustness, demonstrating its potential to advance plant science in real-world agricultural environments.",2024-02-15
"45","intelligent agricultural greenhouse control system based on internet of things and machine learning","cangqing wang","systems and control","this study endeavors to conceptualize and execute a sophisticated agricultural greenhouse control system grounded in the amalgamation of the internet of things (iot) and machine learning. through meticulous monitoring of intrinsic environmental parameters within the greenhouse and the integration of machine learning algorithms, the conditions within the greenhouse are aptly modulated. the envisaged outcome is an enhancement in crop growth efficiency and yield, accompanied by a reduction in resource wastage. in the backdrop of escalating global population figures and the escalating exigencies of climate change, agriculture confronts unprecedented challenges. conventional agricultural paradigms have proven inadequate in addressing the imperatives of food safety and production efficiency. against this backdrop, greenhouse agriculture emerges as a viable solution, proffering a controlled milieu for crop cultivation to augment yields, refine quality, and diminish reliance on natural resources [b1]. nevertheless, greenhouse agriculture contends with a gamut of challenges. traditional greenhouse management strategies, often grounded in experiential knowledge and predefined rules, lack targeted personalized regulation, thereby resulting in resource inefficiencies. the exigencies of real-time monitoring and precise control of the greenhouse's internal environment gain paramount importance with the burgeoning scale of agriculture. to redress this challenge, the study introduces iot technology and machine learning algorithms into greenhouse agriculture, aspiring to institute an intelligent agricultural greenhouse control system conducive to augmenting the efficiency and sustainability of agricultural production.",2024-02-14
"46","hybrid machine learning techniques in the management of harmful algal blooms impact","andres molares-ulloa, daniel rivero, jesus gil ruiz, enrique fernandez-blanco, luis de-la-fuente-valentín","machine learning","harmful algal blooms (habs) are episodes of high concentrations of algae that are potentially toxic for human consumption. mollusc farming can be affected by habs because, as filter feeders, they can accumulate high concentrations of marine biotoxins in their tissues. to avoid the risk to human consumption, harvesting is prohibited when toxicity is detected. at present, the closure of production areas is based on expert knowledge and the existence of a predictive model would help when conditions are complex and sampling is not possible. although the concentration of toxin in meat is the method most commonly used by experts in the control of shellfish production areas, it is rarely used as a target by automatic prediction models. this is largely due to the irregularity of the data due to the established sampling programs. as an alternative, the activity status of production areas has been proposed as a target variable based on whether mollusc meat has a toxicity level below or above the legal limit. this new option is the most similar to the actual functioning of the control of shellfish production areas. for this purpose, we have made a comparison between hybrid machine learning models like neural-network-adding bootstrap (bagnet) and discriminative nearest neighbor classification (svm-knn) when estimating the state of production areas. the study has been carried out in several estuaries with different levels of complexity in the episodes of algal blooms to demonstrate the generalization capacity of the models in bloom detection. as a result, we could observe that, with an average recall value of 93.41% and without dropping below 90% in any of the estuaries, bagnet outperforms the other models both in terms of results and robustness.",2024-02-14
"47","machine learning in management of precautionary closures caused by lipophilic biotoxins","andres molares-ulloa, enrique fernandez-blanco, alejandro pazos, daniel rivero","artificial intelligence","mussel farming is one of the most important aquaculture industries. the main risk to mussel farming is harmful algal blooms (habs), which pose a risk to human consumption. in galicia, the spanish main producer of cultivated mussels, the opening and closing of the production areas is controlled by a monitoring program. in addition to the closures resulting from the presence of toxicity exceeding the legal threshold, in the absence of a confirmatory sampling and the existence of risk factors, precautionary closures may be applied. these decisions are made by experts without the support or formalisation of the experience on which they are based. therefore, this work proposes a predictive model capable of supporting the application of precautionary closures. achieving sensitivity, accuracy and kappa index values of 97.34%, 91.83% and 0.75 respectively, the knn algorithm has provided the best results. this allows the creation of a system capable of helping in complex situations where forecast errors are more common.",2024-02-14
"48","intelligent agricultural management considering n$_2$o emission and climate variability with uncertainties","zhaoan wang, shaoping xiao, jun wang, ashwin parab, shivam patel","machine learning","this study examines how artificial intelligence (ai), especially reinforcement learning (rl), can be used in farming to boost crop yields, fine-tune nitrogen use and watering, and reduce nitrate runoff and greenhouse gases, focusing on nitrous oxide (n$_2$o) emissions from soil. facing climate change and limited agricultural knowledge, we use partially observable markov decision processes (pomdps) with a crop simulator to model ai agents' interactions with farming environments. we apply deep q-learning with recurrent neural network (rnn)-based q networks for training agents on optimal actions. also, we develop machine learning (ml) models to predict n$_2$o emissions, integrating these predictions into the simulator. our research tackles uncertainties in n$_2$o emission estimates with a probabilistic ml approach and climate variability through a stochastic weather model, offering a range of emission outcomes to improve forecast reliability and decision-making. by incorporating climate change effects, we enhance agents' climate adaptability, aiming for resilient agricultural practices. results show these agents can align crop productivity with environmental concerns by penalizing n$_2$o emissions, adapting effectively to climate shifts like warmer temperatures and less rain. this strategy improves farm management under climate change, highlighting ai's role in sustainable agriculture.",2024-02-13
"49","smart water irrigation for rice farming through the internet of things","regie porras binayao, paul vincent lagapa mantua, holy rose may pardillo namocatcat, jade kachel klient bocboc seroy, phoebe ruth alithea bacotot sudaria, kenn migan vincent casicas gumonan, shiela mae malbas orozco","human-computer interaction","this study intends to build smart water irrigation for rice farming using iot and microcontroller devices with solar panel support. the system demonstrates the capabilities of automated irrigation by reducing physical labor through smart monitoring of the temperature, soil moisture, and humidity using multiple sensors. this study uses an agile methodology as it is suitable for reiterative operation for the development of the prototype. the mean result for the interpretation of data gathered for the systems' adaptability and flexibility is 4.32. the researchers were able to develop smart water irrigation for rice farming using iot and microcontroller devices with solar panel support and the respondents also agreed that smart water irrigation for rice farming using iot and microcontroller devices with solar panel support is practical and valuable. a decision support system is recommended that can analyze data collected from iot sensors and provide further recommendations. based on the results, it is also suggested that future researchers use drip irrigation, instead of flood irrigation. smart water irrigation has the potential to revolutionize agriculture, enhance environmental sustainability, and address pressing global challenges related to water resources and food security. these implications highlight the importance of continued research and innovation in this field.",2024-02-02
"50","value-based resource matching with fairness criteria: application to agricultural water trading","abhijin adiga, yohai trabelsi, tanvir ferdousi, madhav marathe, s. s. ravi, samarth swarup, anil kumar vullikanti, mandy l. wilson, sarit kraus, reetwika basu, supriya savalkar, matthew yourek, michael brady, kirti rajagopalan, jonathan yoder","data structures and algorithms","optimal allocation of agricultural water in the event of droughts is an important global problem. in addressing this problem, many aspects, including the welfare of farmers, the economy, and the environment, must be considered. under this backdrop, our work focuses on several resource-matching problems accounting for agents with multi-crop portfolios, geographic constraints, and fairness. first, we address a matching problem where the goal is to maximize a welfare function in two-sided markets where buyers' requirements and sellers' supplies are represented by value functions that assign prices (or costs) to specified volumes of water. for the setting where the value functions satisfy certain monotonicity properties, we present an efficient algorithm that maximizes a social welfare function. when there are minimum water requirement constraints, we present a randomized algorithm which ensures that the constraints are satisfied in expectation. for a single seller--multiple buyers setting with fairness constraints, we design an efficient algorithm that maximizes the minimum level of satisfaction of any buyer. we also present computational complexity results that highlight the limits on the generalizability of our results. we evaluate the algorithms developed in our work with experiments on both real-world and synthetic data sets with respect to drought severity, value functions, and seniority of agents.",2024-02-09
"51","flexible, photonic films of surfactant-functionalized cellulose nanocrystals for pressure and humidity sensing","diogo v. saraiva, steven n. remiëns, ethan i. l. jull, ivo r. vermaire, lisa tran","soft condensed matter","most paints contain pigments that absorb light and fade over time. a robust alternative can be found in nature, where structural coloration arises from the interference of light with submicron features. plant-derived, cellulose nanocrystals (cncs) mimic these features by self-assembling into a cholesteric liquid crystal that exhibits structural coloration when dried. while much research has been done on cncs in aqueous solutions, less is known about transferring cncs to apolar solvents that are widely employed in paints. this study uses a common surfactant in agricultural and industrial products to suspend cncs in toluene that are then dried into structurally colored films. surprisingly, a stable liquid crystal phase is formed within hours, even with concentrations of up to 50 wt.-%. evaporating the apolar cnc suspensions results in photonic films with peak wavelengths ranging from 660 to 920 nm. the resulting flexible films show increased mechanical strength, enabling a blue-shift into the visible spectrum with applied force. the films also act as humidity sensors, with increasing relative humidity yielding a red-shift. with the addition of a single surfactant, cncs can be made compatible with existing production methods of industrial coatings, while improving the strength and responsiveness of structurally-colored films to external stimuli.",2024-02-09
"52","development of an updated, comprehensive food composition database for australian-grown horticultural commodities","eleanor dunlop, judy cunningham, paul adorno, shari fatupaito, stuart k johnson, lucinda j black","other quantitative biology","australian agriculture supplies many horticultural commodities to domestic and international markets; however, food composition data for many commodities are outdated or unavailable. we produced an up-to-date, nationally representative dataset of up to 148 nutrients and related components in 92 australian-grown fruit (fresh n=39, dried n=6), vegetables (n=43) and nuts (n=4) by replacing outdated data (pre-2000), confirming concentrations of important nutrients and retaining relevant existing data. primary samples (n = 902) were purchased during peak growing season in sydney, melbourne and perth between june 2021 and may 2022. while new data reflect current growing practices, varieties, climate and analytical methods, few notable differences were found between old and new data where methods of analysis are comparable. the new data will be incorporated into the australian food composition database, allowing free online access to stakeholders. the approach used could serve as a model for cost-effective updates of national food composition databases worldwide.",2024-02-09
"53","exploration without maps via zero-shot out-of-distribution deep reinforcement learning","shathushan sivashangaran, apoorva khairnar, azim eskandarian","robotics","operation of autonomous mobile robots (amrs) of all forms that include wheeled ground vehicles, quadrupeds and humanoids in dynamically changing gps denied environments without a-priori maps, exclusively using onboard sensors, is an unsolved problem that has potential to transform the economy, and vastly improve humanity's capabilities with improvements to agriculture, manufacturing, disaster response, military and space exploration. conventional amr automation approaches are modularized into perception, motion planning and control which is computationally inefficient, and requires explicit feature extraction and engineering, that inhibits generalization, and deployment at scale. few works have focused on real-world end-to-end approaches that directly map sensor inputs to control outputs due to the large amount of well curated training data required for supervised deep learning (dl) which is time consuming and labor intensive to collect and label, and sample inefficiency and challenges to bridging the simulation to reality gap using deep reinforcement learning (drl). this paper presents a novel method to efficiently train drl for robust end-to-end amr exploration, in a constrained environment at physical limits in simulation, transferred zero-shot to the real-world. the representation learned in a compact parameter space with 2 fully connected layers with 64 nodes each is demonstrated to exhibit emergent behavior for out-of-distribution generalization to navigation in new environments that include unstructured terrain without maps, and dynamic obstacle avoidance. the learned policy outperforms conventional navigation algorithms while consuming a fraction of the computation resources, enabling execution on a range of amr forms with varying embedded computer payloads.",2024-02-07
"54","models, methods and algorithms for monitoring environmental impact on agricultural production","anvar kabulov, ibrokhimali normatov, islambek saymanov, abdusattar baizhumanov, inomjon yarashov","physics and society","the article analyzes the impact of environmental conditions on agricultural production in the aral sea region. the development of mathematical models for solving the problems of optimizing agricultural production, the spread of dust and salt particles from above-ground sources of heavy and light aerosols, depending on meteorological conditions, algorithmic and managerial decision-making methods is scientifically substantiated. it is also proposed to develop methods and tools for interactive analysis of water and soil, models, methods and monitoring algorithms to determine the impact of environmental factors on agricultural production.",2024-01-24
"55","gazebo plants: simulating plant-robot interaction with cosserat rods","junchen deng, samhita marri, jonathan klein, wojtek pałubicki, sören pirk, girish chowdhary, dominik l. michels","robotics","robotic harvesting has the potential to positively impact agricultural productivity, reduce costs, improve food quality, enhance sustainability, and to address labor shortage. in the rapidly advancing field of agricultural robotics, the necessity of training robots in a virtual environment has become essential. generating training data to automatize the underlying computer vision tasks such as image segmentation, object detection and classification, also heavily relies on such virtual environments as synthetic data is often required to overcome the shortage and lack of variety of real data sets. however, physics engines commonly employed within the robotics community, such as ode, simbody, bullet, and dart, primarily support motion and collision interaction of rigid bodies. this inherent limitation hinders experimentation and progress in handling non-rigid objects such as plants and crops. in this contribution, we present a plugin for the gazebo simulation platform based on cosserat rods to model plant motion. it enables the simulation of plants and their interaction with the environment. we demonstrate that, using our plugin, users can conduct harvesting simulations in gazebo by simulating a robotic arm picking fruits and achieve results comparable to real-world experiments.",2024-02-04
"56","dellma: a framework for decision making under uncertainty with large language models","ollie liu, deqing fu, dani yogatama, willie neiswanger","artificial intelligence","large language models (llms) are increasingly used across society, including in domains like business, engineering, and medicine. these fields often grapple with decision-making under uncertainty, a critical yet challenging task. in this paper, we show that directly prompting llms on these types of decision-making problems yields poor results, especially as the problem complexity increases. to overcome this limitation, we propose dellma (decision-making large language model assistant), a framework designed to enhance decision-making accuracy in uncertain environments. dellma involves a multi-step scaffolding procedure, drawing upon principles from decision theory and utility theory, to provide an optimal and human-auditable decision-making process. we validate our framework on decision-making environments involving real agriculture and finance data. our results show that dellma can significantly improve llm decision-making performance, achieving up to a 40% increase in accuracy over competing methods.",2024-02-04
"57","enhancing crop classification accuracy by synthetic sar-optical data generation using deep learning","ali mirzaei, hossein bagheri, iman khosravi","computer vision and pattern recognition","crop classification using remote sensing data has emerged as a prominent research area in recent decades. studies have demonstrated that fusing sar and optical images can significantly enhance the accuracy of classification. however, a major challenge in this field is the limited availability of training data, which adversely affects the performance of classifiers. in agricultural regions, the dominant crops typically consist of one or two specific types, while other crops are scarce. consequently, when collecting training samples to create a map of agricultural products, there is an abundance of samples from the dominant crops, forming the majority classes. conversely, samples from other crops are scarce, representing the minority classes. addressing this issue requires overcoming several challenges and weaknesses associated with traditional data generation methods. these methods have been employed to tackle the imbalanced nature of the training data. nevertheless, they still face limitations in effectively handling the minority classes. overall, the issue of inadequate training data, particularly for minority classes, remains a hurdle that traditional methods struggle to overcome. in this research, we explore the effectiveness of conditional tabular generative adversarial network (ctgan) as a synthetic data generation method based on a deep learning network, in addressing the challenge of limited training data for minority classes in crop classification using the fusion of sar-optical data. our findings demonstrate that the proposed method generates synthetic data with higher quality that can significantly increase the number of samples for minority classes leading to better performance of crop classifiers.",2024-02-03
"58","yield forecasting based on short time series with high spatial resolution data","sayli pokal, yuzhen zhou, trenton franz","applications","precision agriculture, also known as site-specific crop management, plays a crucial role in modern agriculture. yield maps are an essential tool as they help identify the within-field variability that forms the basis of precision agriculture. if farmers could obtain yield maps for their specific site based on their field's soil and weather conditions, then site-specific crop management techniques would be more efficient and profitable. however, forecasting yield and producing reliable yield maps for an individual field can be challenging due to limited historical data. this paper proposes a novel two-stage approach for site-specific yield forecasting based on short-time series and high-resolution yield data. the proposed approach was successfully applied to predict yield maps at three different sites in nebraska, demonstrating the method's ability to provide fine resolution and accurate yield maps.",2024-02-02
"59","changes in heat waves characteristics over extremadura (sw spain)","f. j. acero, m.i. fernández-fernández, v.m.s. carrasco, s. parey, t.t. huong hoang, d. dacunha-castelle, j.a. garcía","atmospheric and oceanic physics","heat wave (hw) events are becoming more frequent, and they have important consequences because of the negative effects they can have not only on the human population in health terms, but also on biodiversity and agriculture. this motivated a study of the trends in hw events over extremadura, a region in the southwest of spain, with much of its area in summer devoted to the production of irrigated crops such as maize and tomatoes. heat waves were defined for the study as two consecutive days with temperatures above the 95th percentile of the summer (june-august) maximum temperature (tmax) time series. two datasets were used: one consisted of 13 daily temperature records uniformly distributed over the region, and the other was the spain02 gridded observational dataset, extracting just the points corresponding to extremadura. the trends studied were in the duration, intensity, and frequency of hw events, and in other parameters such as the mean, low (25th percentile), and high (75th percentile) values. in general terms, the results showed significant positive trends in those parameters over the east, the northwest, and a small area in the south of the region. in order to study changes in hw characteristics (duration, frequency and intensity) considering different subperiods, a stochastic model was used to generate 1000 time series equivalent to the observed ones. the results showed that there were no significant changes in hw duration in the last 10-year subperiod in comparison with the first. but the results were different for warm events (we), defined with a lower threshold (the 75th percentile), which are also important for agriculture. for several sites, there were significant changes in we duration, frequency, and intensity.",2024-02-01
"60","the greenbot dataset: multimodal mobile robotic dataset for a typical mediterranean greenhouse","fernando cañadas-aránega, jose luis blanco-claraco, jose carlos moreno, francisco rodriguez","robotics","this paper introduces an innovative dataset specifically crafted for challenging agricultural settings (a greenhouse), where achieving precise localization is of paramount importance. the dataset was gathered using a mobile platform equipped with a set of sensors typically used in mobile robots, as it was moved through all the corridors of a typical mediterranean greenhouse featuring tomato crop. this dataset presents a unique opportunity for constructing detailed 3d models of plants in such indoor-like space, with potential applications such as robotized spraying. for the first time to the best knowledge of authors, a dataset suitable to put at test simultaneous localization and mapping (slam) methods is presented in a greenhouse environment, which poses unique challenges. the suitability of the dataset for such goal is assessed by presenting slam results with state-of-the-art algorithms. the dataset is available online in \url{this https url}.",2024-02-01
"61","review on application of drone in spraying pesticides and fertilizers","sane souvanhnakhoomman","robotics","in today's agriculture, there are far too many innovations involved. one of the emerging technologies is pesticide spraying using drones. manual pesticide spraying has a number of negative consequences for the people who are involved in the spraying operation. the result of exposure symptoms can include minor skin inflammation and birth abnormalities, tumors, genetic modifications, nerve and blood diseases, endocrinal interference, coma or death. however, drone can be used to automate fertilizer application, pesticide spraying, and field tracking. this paper provides a concise overview of the use of drones for field inspection and pesticide spraying. displays different methodologies and controllers of agriculture drone and explains some essential drone hardware, software elements and applications",2024-01-03
"62","efficient subseasonal weather forecast using teleconnection-informed transformers","shan zhao, zhitong xiong, xiao xiang zhu","machine learning","subseasonal forecasting, which is pivotal for agriculture, water resource management, and early warning of disasters, faces challenges due to the chaotic nature of the atmosphere. recent advances in machine learning (ml) have revolutionized weather forecasting by achieving competitive predictive skills to numerical models. however, training such foundation models requires thousands of gpu days, which causes substantial carbon emissions and limits their broader applicability. moreover, ml models tend to fool the pixel-wise error scores by producing smoothed results which lack physical consistency and meteorological meaning. to deal with the aforementioned problems, we propose a teleconnection-informed transformer. our architecture leverages the pretrained pangu model to achieve good initial weights and integrates a teleconnection-informed temporal module to improve predictability in an extended temporal range. remarkably, by adjusting 1.1% of the pangu model's parameters, our method enhances predictability on four surface and five upper-level atmospheric variables at a two-week lead time. furthermore, the teleconnection-filtered features improve the spatial granularity of outputs significantly, indicating their potential physical consistency. our research underscores the importance of atmospheric and oceanic teleconnections in driving future weather conditions. besides, it presents a resource-efficient pathway for researchers to leverage existing foundation models on versatile downstream tasks.",2024-01-31
"63","modeling how and why aquatic vegetation removal can free rural households from poverty-disease traps","molly j doruska, christopher b barrett, jason r rohr","general economics","infectious disease can reduce labor productivity and incomes, trapping subpopulations in a vicious cycle of ill health and poverty. efforts to boost african farmers' agricultural production through fertilizer use can inadvertently promote the growth of aquatic vegetation that hosts disease vectors. recent trials established that removing aquatic vegetation habitat for snail intermediate hosts reduces schistosomiasis infection rates in children, while converting the harvested vegetation into compost boosts agricultural productivity and incomes. our model illustrates how this ecological intervention changes the feedback between the human and natural systems, potentially freeing rural households from poverty-disease traps. we develop a bioeconomic model that interacts an analytical microeconomic model of agricultural households' behavior, health status and incomes over time with a dynamic model of schistosomiasis disease ecology. we calibrate the model with field data from northern senegal. we show analytically and via simulation that local conversion of invasive aquatic vegetation to compost changes the feedbacks among interlinked disease, aquatic and agricultural systems, reducing schistosomiasis infection and increasing incomes relative to the current status quo, in which villagers rarely remove vegetation. aquatic vegetation removal disrupts the poverty-disease trap by reducing habitat for snails that vector the infectious helminth and by promoting production of compost that returns to agricultural soils nutrients that currently leach into surface water from on-farm fertilizer applications. the result is healthier people, more productive labor, cleaner water, more productive agriculture, and higher incomes.",2024-01-30
"64","modelling solar pv adoption in irish dairy farms using agent-based modelling","iias faiud, michael schukat, karl mason","multiagent systems","the agricultural sector is facing mounting demands to enhance energy efficiency within farm enterprises, concurrent with a steady escalation in electricity costs. this paper focuses on modelling the adoption rate of photovoltaic (pv) energy within the dairy sector in ireland. an agent-based modelling approach is introduced to estimate the adoption rate. the model considers grid energy prices, revenue, costs, and maintenance expenses to calculate the probability of pv adoption. the abm outputs estimate that by year 2022, 2.45% of dairy farmers have installed pv. this is a 0.45% difference to the actual pv adoption rate in year 2022. this validates the proposed abm. the paper demonstrates the increasing interest in pv systems as evidenced by the rate of adoption, shedding light on the potential advantages of pv energy adoption in agriculture. this study possesses the potential to forecast future rates of pv energy adoption among dairy farmers. it establishes a groundwork for further research on predicting and understanding the factors influencing the adoption of renewable energy.",2024-01-15
