"","title","author","subject","abstract","meta"
"36","Enhanced Droplet Analysis Using Generative Adversarial Networks","Tan-Hanh Pham, Kim-Doang Nguyen","Computer Vision and Pattern Recognition (cs.CV)","Precision devices play an important role in enhancing production quality and productivity in agricultural systems. Therefore, the optimization of these devices is essential in precision agriculture. Recently, with the advancements of deep learning, there have been several studies aiming to harness its capabilities for improving spray system performance. However, the effectiveness of these methods heavily depends on the size of the training dataset, which is expensive and time-consuming to collect. To address the challenge of insufficient training samples, this paper proposes an alternative solution by generating artificial images of droplets using generative adversarial networks (GAN). The GAN model is trained by using a small dataset captured by a high-speed camera and capable of generating images with progressively increasing resolution. The results demonstrate that the model can generate high-quality images with the size of $1024\times1024$. Furthermore, this research leverages recent advancements in computer vision and deep learning to develop a light droplet detector using the synthetic dataset. As a result, the detection model achieves a 16.06\% increase in mean average precision (mAP) when utilizing the synthetic dataset. To the best of our knowledge, this work stands as the first to employ a generative model for augmenting droplet detection. Its significance lies not only in optimizing nozzle design for constructing efficient spray systems but also in addressing the common challenge of insufficient data in various precision agriculture tasks. This work offers a critical contribution to conserving resources while striving for optimal and sustainable agricultural practices.","Sat, 24 Feb 2024 21:20:53 UTC (9,635 KB)"
"37","Effects of term weighting approach with and without stop words removing on Arabic text classification","Esra'a Alhenawi, Ruba Abu Khurma, Pedro A. Castillo, Maribel G. Arenas","Computation and Language (cs.CL)","Classifying text is a method for categorizing documents into pre-established groups. Text documents must be prepared and represented in a way that is appropriate for the algorithms used for data mining prior to classification. As a result, a number of term weighting strategies have been created in the literature to enhance text categorization algorithms' functionality. This study compares the effects of Binary and Term frequency weighting feature methodologies on the text's classification method when stop words are eliminated once and when they are not. In recognition of assessing the effects of prior weighting of features approaches on classification results in terms of accuracy, recall, precision, and F-measure values, we used an Arabic data set made up of 322 documents divided into six main topics (agriculture, economy, health, politics, science, and sport), each of which contains 50 documents, with the exception of the health category, which contains 61 documents. The results demonstrate that for all metrics, the term frequency feature weighting approach with stop word removal outperforms the binary approach, while for accuracy, recall, and F-Measure, the binary approach outperforms the TF approach without stop word removal. However, for precision, the two approaches produce results that are very similar. Additionally, it is clear from the data that, using the same phrase weighting approach, stop word removing increases classification accuracy.","Wed, 21 Feb 2024 11:31:04 UTC (493 KB)"
"38","Edge Computing for IoT","Balqees Talal Hasan, Ali Kadhum Idrees","Networking and Internet Architecture (cs.NI)","Over the past few years, The idea of edge computing has seen substantial expansion in both academic and industrial circles. This computing approach has garnered attention due to its integrating role in advancing various state-of-the-art technologies such as Internet of Things (IoT) , 5G, artificial intelligence, and augmented reality. In this chapter, we introduce computing paradigms for IoT, offering an overview of the current cutting-edge computing approaches that can be used with IoT. Furthermore, we go deeper into edge computing paradigms, specifically focusing on cloudlet and mobile edge computing. After that, we investigate the architecture of edge computing-based IoT, its advantages, and the technologies that make Edge computing-based IoT possible, including artificial intelligence and lightweight virtualization. Additionally, we review real-life case studies of how edge computing is applied in IoT-based Intelligent Systems, including areas like healthcare, manufacturing, agriculture, and transportation. Finally, we discuss current research obstacles and outline potential future directions for further investigation in this domain.","Tue, 20 Feb 2024 14:51:02 UTC (25,339 KB)"
"39","Explaining the emergence of land-use frontiers","Patrick Meyfroidt, Dilini Abeygunawardane, Matthias Baumann, Adia Bey, Ana Buchadas, Cristina Chiarella, Victoria Junquera, Angela Kronenburg García, Tobias Kuemmerle, Yann le Polain de Waroux, Eduardo Oliveira, Michelle Picoli, Siyu Qin, Virginia Rodriguez García, Philippe Rufin","General Economics (econ.GN)","Land use expansion is linked to major sustainability concerns including climate change, food security and biodiversity loss. This expansion is largely concentrated in so-called frontiers, defined here as places experiencing marked transformations due to rapid resource exploitation. Understanding the mechanisms shaping these frontiers is crucial for sustainability. Previous work focused mainly on explaining how active frontiers advance, in particular into tropical forests. Comparatively, our understanding of how frontiers emerge in territories considered marginal in terms of agricultural productivity and global market integration remains weak. We synthesize conceptual tools explaining resource and land-use frontiers, including theories of land rent and agglomeration economies, of frontiers as successive waves, spaces of territorialization, friction, and opportunities, anticipation and expectation. We then propose a new theory of frontier emergence, which identifies exogenous pushes, legacies of past waves, and actors anticipations as key mechanisms by which frontiers emerge. Processes of abnormal rent creation and capture and the built-up of agglomeration economies then constitute key mechanisms sustaining active frontiers. Finally, we discuss five implications for the governance of frontiers for sustainability. Our theory focuses on agriculture and deforestation frontiers in the tropics, but can be inspirational for other frontier processes including for extractive resources, such as minerals.","Mon, 19 Feb 2024 19:50:29 UTC (565 KB)"
"40","Navigating simplicity and complexity of social-ecological systems through a dialog between dynamical systems and agent-based models","Sonja Radosavljevic, Udita Sanga, Maja Schlüter","Multiagent Systems (cs.MA)","Social-ecological systems (SES) research aims to understand the nature of social-ecological phenomena, to find effective ways to foster or manage conditions under which desirable phenomena, such as sustainable resource use, occur or to change conditions or reduce the negative consequences of undesirable phenomena, such as poverty traps. Challenges such as these are often addressed using dynamical systems models (DSM) or agent-based models (ABM). Both modeling approaches have strengths and weaknesses. DSM are praised for their analytical tractability and efficient exploration of asymptotic dynamics and bifurcation, which are enabled by reduced number and heterogeneity of system components. ABM allows representing heterogeneity, agency, learning and interactions of diverse agents within SES, but this also comes at a price such as inefficiency to explore asymptotic dynamics or bifurcations. In this paper we combine DSM and ABM to leverage strengths of each modeling technique and gain deeper insights into dynamics of a system. We start with an ABM and research questions that the ABM was not able to answer. Using results of the ABM analysis as inputs for DSM, we create a DSM. Stability and bifurcation analysis of the DSM gives partial answers to the research questions and direct attention to where additional details are needed. This informs further ABM analysis, prevents burdening the ABM with less important details and reveals new insights about system dynamics. The iterative process and dialogue between the ABM and DSM leads to more complete answers to research questions and surpasses insights provided by each of the models separately. We illustrate the procedure with the example of the emergence of poverty traps in an agricultural system with endogenously driven innovation.","Mon, 19 Feb 2024 12:07:27 UTC (1,307 KB)"
"41","Challenging the Black Box: A Comprehensive Evaluation of Attribution Maps of CNN Applications in Agriculture and Forestry","Lars Nieradzik, Henrike Stephani, Jördis Sieburg-Rockel, Stephanie Helmling, Andrea Olbrich, Janis Keuper","Computer Vision and Pattern Recognition (cs.CV)","In this study, we explore the explainability of neural networks in agriculture and forestry, specifically in fertilizer treatment classification and wood identification. The opaque nature of these models, often considered 'black boxes', is addressed through an extensive evaluation of state-of-the-art Attribution Maps (AMs), also known as class activation maps (CAMs) or saliency maps. Our comprehensive qualitative and quantitative analysis of these AMs uncovers critical practical limitations. Findings reveal that AMs frequently fail to consistently highlight crucial features and often misalign with the features considered important by domain experts. These discrepancies raise substantial questions about the utility of AMs in understanding the decision-making process of neural networks. Our study provides critical insights into the trustworthiness and practicality of AMs within the agriculture and forestry sectors, thus facilitating a better understanding of neural networks in these application areas.","Sun, 18 Feb 2024 18:16:43 UTC (2,602 KB)"
"42","From parcels to people: development of a spatially explicit risk indicator to monitor residential pesticide exposure in agricultural areas","Francesco Galimberti (1), Stephanie Bopp (1), Alessandro Carletti (1), Rui Catarino (1), Martin Claverie (1), Pietro Florio (1), Alessio Ippolito (2), Arwyn Jones (1), Flavio Marchetto (3), Michael Olvedy (1), Alberto Pistocchi (1), Astrid Verhegghen (1), Marijn Van Der Velde (1), Diana Vieira (1), Raphael d'Andrimont (4) ((1) European Commission, Joint Research Centre (JRC), Ispra, Italy (2) European Food Safety Authority (EFSA), Parma, Italy (3) European Chemicals Agency (ECHA), Helsinki, Finland (4) European Commission, Joint Research Centre (JRC), Brussels, Belgium)","Quantitative Methods (q-bio.QM)","The increase in global pesticide use has mirrored the rising demand for food over the last decades, resulting in a boost in crop yields. However, concerns about the impact of pesticides on biodiversity, ecosystems, and human health, especially for populations residing close to cultivated areas, are growing. This study investigates how exposure and possible risks to residents can be estimated at high spatial granularity based on plant protection product data. The complexities of such analysis were explored in France, where relevant data with good granularity are publicly available. Integrating sets of spatial datasets and exposure assessment methodologies, we have developed an indicator to monitor the levels of pesticide risk faced by residents. By spatialising pesticide sales data according to their authorization on specific crops, we developed a detailed map depicting potential pesticide loads at parcel level across France. This spatial distribution served as the basis for an exposure and risk assessment, modelled following the European Food Safety Authority's guidelines. Combining the risk map with population distribution data, we have developed an indicator that allows to monitor patterns in non-dietary exposure to pesticides. Our results show that in France, on average, 13% of people might be exposed to pesticides due to living in the proximity to treated crops. This exposure is in the lower range for 34%, moderate range for 40% and higher range for 25% of the exposed population. The risk evaluation is based on worst case assumptions and values should not be taken as a regulatory risk assessment but as indicator to use, for example, for monitoring time trends. The purpose of this indicator is to demonstrate that more granular pesticide data can improve risk reduction strategies. Harmonized and high-resolution data can help in identifying regions where to focus on sustainable farming.","Fri, 16 Feb 2024 12:05:21 UTC (29,118 KB)"
"43","Evaluating NeRFs for 3D Plant Geometry Reconstruction in Field Conditions","Muhammad Arbab Arshad, Talukder Jubery, James Afful, Anushrut Jignasu, Aditya Balu, Baskar Ganapathysubramanian, Soumik Sarkar, Adarsh Krishnamurthy","Computer Vision and Pattern Recognition (cs.CV)","We evaluate different Neural Radiance Fields (NeRFs) techniques for reconstructing (3D) plants in varied environments, from indoor settings to outdoor fields. Traditional techniques often struggle to capture the complex details of plants, which is crucial for botanical and agricultural understanding. We evaluate three scenarios with increasing complexity and compare the results with the point cloud obtained using LiDAR as ground truth data. In the most realistic field scenario, the NeRF models achieve a 74.65% F1 score with 30 minutes of training on the GPU, highlighting the efficiency and accuracy of NeRFs in challenging environments. These findings not only demonstrate the potential of NeRF in detailed and realistic 3D plant modeling but also suggest practical approaches for enhancing the speed and efficiency of the 3D reconstruction process.","Thu, 15 Feb 2024 22:17:17 UTC (34,852 KB)"
"44","Pheno-Robot: An Auto-Digital Modelling System for In-Situ Phenotyping in the Field","Yaoqiang Pan, Kewei Hu, Tianhao Liu, Chao Chen, Hanwen Kang","Robotics (cs.RO)","Accurate reconstruction of plant models for phenotyping analysis is critical for optimising sustainable agricultural practices in precision agriculture. Traditional laboratory-based phenotyping, while valuable, falls short of understanding how plants grow under uncontrolled conditions. Robotic technologies offer a promising avenue for large-scale, direct phenotyping in real-world environments. This study explores the deployment of emerging robotics and digital technology in plant phenotyping to improve performance and efficiency. Three critical functional modules: environmental understanding, robotic motion planning, and in-situ phenotyping, are introduced to automate the entire process. Experimental results demonstrate the effectiveness of the system in agricultural environments. The pheno-robot system autonomously collects high-quality data by navigating around plants. In addition, the in-situ modelling model reconstructs high-quality plant models from the data collected by the robot. The developed robotic system shows high efficiency and robustness, demonstrating its potential to advance plant science in real-world agricultural environments.","Thu, 15 Feb 2024 03:43:00 UTC (9,370 KB)"
"45","Intelligent Agricultural Greenhouse Control System Based on Internet of Things and Machine Learning","Cangqing Wang","Systems and Control (eess.SY)","This study endeavors to conceptualize and execute a sophisticated agricultural greenhouse control system grounded in the amalgamation of the Internet of Things (IoT) and machine learning. Through meticulous monitoring of intrinsic environmental parameters within the greenhouse and the integration of machine learning algorithms, the conditions within the greenhouse are aptly modulated. The envisaged outcome is an enhancement in crop growth efficiency and yield, accompanied by a reduction in resource wastage. In the backdrop of escalating global population figures and the escalating exigencies of climate change, agriculture confronts unprecedented challenges. Conventional agricultural paradigms have proven inadequate in addressing the imperatives of food safety and production efficiency. Against this backdrop, greenhouse agriculture emerges as a viable solution, proffering a controlled milieu for crop cultivation to augment yields, refine quality, and diminish reliance on natural resources [b1]. Nevertheless, greenhouse agriculture contends with a gamut of challenges. Traditional greenhouse management strategies, often grounded in experiential knowledge and predefined rules, lack targeted personalized regulation, thereby resulting in resource inefficiencies. The exigencies of real-time monitoring and precise control of the greenhouse's internal environment gain paramount importance with the burgeoning scale of agriculture. To redress this challenge, the study introduces IoT technology and machine learning algorithms into greenhouse agriculture, aspiring to institute an intelligent agricultural greenhouse control system conducive to augmenting the efficiency and sustainability of agricultural production.","Wed, 14 Feb 2024 09:07:00 UTC (878 KB)"
"46","Hybrid Machine Learning techniques in the management of harmful algal blooms impact","Andres Molares-Ulloa, Daniel Rivero, Jesus Gil Ruiz, Enrique Fernandez-Blanco, Luis de-la-Fuente-Valentín","Machine Learning (cs.LG)","Harmful algal blooms (HABs) are episodes of high concentrations of algae that are potentially toxic for human consumption. Mollusc farming can be affected by HABs because, as filter feeders, they can accumulate high concentrations of marine biotoxins in their tissues. To avoid the risk to human consumption, harvesting is prohibited when toxicity is detected. At present, the closure of production areas is based on expert knowledge and the existence of a predictive model would help when conditions are complex and sampling is not possible. Although the concentration of toxin in meat is the method most commonly used by experts in the control of shellfish production areas, it is rarely used as a target by automatic prediction models. This is largely due to the irregularity of the data due to the established sampling programs. As an alternative, the activity status of production areas has been proposed as a target variable based on whether mollusc meat has a toxicity level below or above the legal limit. This new option is the most similar to the actual functioning of the control of shellfish production areas. For this purpose, we have made a comparison between hybrid machine learning models like Neural-Network-Adding Bootstrap (BAGNET) and Discriminative Nearest Neighbor Classification (SVM-KNN) when estimating the state of production areas. The study has been carried out in several estuaries with different levels of complexity in the episodes of algal blooms to demonstrate the generalization capacity of the models in bloom detection. As a result, we could observe that, with an average recall value of 93.41% and without dropping below 90% in any of the estuaries, BAGNET outperforms the other models both in terms of results and robustness.","Wed, 14 Feb 2024 15:59:22 UTC (472 KB)"
"47","Machine Learning in management of precautionary closures caused by lipophilic biotoxins","Andres Molares-Ulloa, Enrique Fernandez-Blanco, Alejandro Pazos, Daniel Rivero","Artificial Intelligence (cs.AI)","Mussel farming is one of the most important aquaculture industries. The main risk to mussel farming is harmful algal blooms (HABs), which pose a risk to human consumption. In Galicia, the Spanish main producer of cultivated mussels, the opening and closing of the production areas is controlled by a monitoring program. In addition to the closures resulting from the presence of toxicity exceeding the legal threshold, in the absence of a confirmatory sampling and the existence of risk factors, precautionary closures may be applied. These decisions are made by experts without the support or formalisation of the experience on which they are based. Therefore, this work proposes a predictive model capable of supporting the application of precautionary closures. Achieving sensitivity, accuracy and kappa index values of 97.34%, 91.83% and 0.75 respectively, the kNN algorithm has provided the best results. This allows the creation of a system capable of helping in complex situations where forecast errors are more common.","Wed, 14 Feb 2024 15:51:58 UTC (24,412 KB)"
"48","Intelligent Agricultural Management Considering N$_2$O Emission and Climate Variability with Uncertainties","Zhaoan Wang, Shaoping Xiao, Jun Wang, Ashwin Parab, Shivam Patel","Machine Learning (cs.LG)","This study examines how artificial intelligence (AI), especially Reinforcement Learning (RL), can be used in farming to boost crop yields, fine-tune nitrogen use and watering, and reduce nitrate runoff and greenhouse gases, focusing on Nitrous Oxide (N$_2$O) emissions from soil. Facing climate change and limited agricultural knowledge, we use Partially Observable Markov Decision Processes (POMDPs) with a crop simulator to model AI agents' interactions with farming environments. We apply deep Q-learning with Recurrent Neural Network (RNN)-based Q networks for training agents on optimal actions. Also, we develop Machine Learning (ML) models to predict N$_2$O emissions, integrating these predictions into the simulator. Our research tackles uncertainties in N$_2$O emission estimates with a probabilistic ML approach and climate variability through a stochastic weather model, offering a range of emission outcomes to improve forecast reliability and decision-making. By incorporating climate change effects, we enhance agents' climate adaptability, aiming for resilient agricultural practices. Results show these agents can align crop productivity with environmental concerns by penalizing N$_2$O emissions, adapting effectively to climate shifts like warmer temperatures and less rain. This strategy improves farm management under climate change, highlighting AI's role in sustainable agriculture.","Tue, 13 Feb 2024 22:29:40 UTC (244 KB)"
"49","Smart Water Irrigation for Rice Farming through the Internet of Things","Regie Porras Binayao, Paul Vincent Lagapa Mantua, Holy Rose May Pardillo Namocatcat, Jade Kachel Klient Bocboc Seroy, Phoebe Ruth Alithea Bacotot Sudaria, Kenn Migan Vincent Casicas Gumonan, Shiela Mae Malbas Orozco","Human-Computer Interaction (cs.HC)","This study intends to build smart water irrigation for rice farming using IoT and microcontroller devices with solar panel support. The system demonstrates the capabilities of automated irrigation by reducing physical labor through smart monitoring of the temperature, soil moisture, and humidity using multiple sensors. This study uses an agile methodology as it is suitable for reiterative operation for the development of the prototype. The mean result for the interpretation of data gathered for the systems' adaptability and flexibility is 4.32. The researchers were able to develop smart water irrigation for rice farming using IoT and microcontroller devices with solar panel support and the respondents also agreed that Smart water irrigation for rice farming using IoT and microcontroller devices with solar panel support is practical and valuable. A decision support system is recommended that can analyze data collected from IoT sensors and provide further recommendations. Based on the results, it is also suggested that future researchers use drip irrigation, instead of flood irrigation. Smart water irrigation has the potential to revolutionize agriculture, enhance environmental sustainability, and address pressing global challenges related to water resources and food security. These implications highlight the importance of continued research and innovation in this field.","Fri, 2 Feb 2024 04:37:56 UTC (589 KB)"
"50","Value-based Resource Matching with Fairness Criteria: Application to Agricultural Water Trading","Abhijin Adiga, Yohai Trabelsi, Tanvir Ferdousi, Madhav Marathe, S. S. Ravi, Samarth Swarup, Anil Kumar Vullikanti, Mandy L. Wilson, Sarit Kraus, Reetwika Basu, Supriya Savalkar, Matthew Yourek, Michael Brady, Kirti Rajagopalan, Jonathan Yoder","Data Structures and Algorithms (cs.DS)","Optimal allocation of agricultural water in the event of droughts is an important global problem. In addressing this problem, many aspects, including the welfare of farmers, the economy, and the environment, must be considered. Under this backdrop, our work focuses on several resource-matching problems accounting for agents with multi-crop portfolios, geographic constraints, and fairness. First, we address a matching problem where the goal is to maximize a welfare function in two-sided markets where buyers' requirements and sellers' supplies are represented by value functions that assign prices (or costs) to specified volumes of water. For the setting where the value functions satisfy certain monotonicity properties, we present an efficient algorithm that maximizes a social welfare function. When there are minimum water requirement constraints, we present a randomized algorithm which ensures that the constraints are satisfied in expectation. For a single seller--multiple buyers setting with fairness constraints, we design an efficient algorithm that maximizes the minimum level of satisfaction of any buyer. We also present computational complexity results that highlight the limits on the generalizability of our results. We evaluate the algorithms developed in our work with experiments on both real-world and synthetic data sets with respect to drought severity, value functions, and seniority of agents.","Fri, 9 Feb 2024 17:50:40 UTC (4,584 KB)[v2] Mon, 12 Feb 2024 02:17:04 UTC (4,657 KB)"
"51","Flexible, photonic films of surfactant-functionalized cellulose nanocrystals for pressure and humidity sensing","Diogo V. Saraiva, Steven N. Remiëns, Ethan I. L. Jull, Ivo R. Vermaire, Lisa Tran","Soft Condensed Matter (cond-mat.soft)","Most paints contain pigments that absorb light and fade over time. A robust alternative can be found in nature, where structural coloration arises from the interference of light with submicron features. Plant-derived, cellulose nanocrystals (CNCs) mimic these features by self-assembling into a cholesteric liquid crystal that exhibits structural coloration when dried. While much research has been done on CNCs in aqueous solutions, less is known about transferring CNCs to apolar solvents that are widely employed in paints. This study uses a common surfactant in agricultural and industrial products to suspend CNCs in toluene that are then dried into structurally colored films. Surprisingly, a stable liquid crystal phase is formed within hours, even with concentrations of up to 50 wt.-%. Evaporating the apolar CNC suspensions results in photonic films with peak wavelengths ranging from 660 to 920 nm. The resulting flexible films show increased mechanical strength, enabling a blue-shift into the visible spectrum with applied force. The films also act as humidity sensors, with increasing relative humidity yielding a red-shift. With the addition of a single surfactant, CNCs can be made compatible with existing production methods of industrial coatings, while improving the strength and responsiveness of structurally-colored films to external stimuli.","Fri, 9 Feb 2024 15:22:00 UTC (19,809 KB)"
"52","Development of an updated, comprehensive food composition database for Australian-grown horticultural commodities","Eleanor Dunlop, Judy Cunningham, Paul Adorno, Shari Fatupaito, Stuart K Johnson, Lucinda J Black","Other Quantitative Biology (q-bio.OT)","Australian agriculture supplies many horticultural commodities to domestic and international markets; however, food composition data for many commodities are outdated or unavailable. We produced an up-to-date, nationally representative dataset of up to 148 nutrients and related components in 92 Australian-grown fruit (fresh n=39, dried n=6), vegetables (n=43) and nuts (n=4) by replacing outdated data (pre-2000), confirming concentrations of important nutrients and retaining relevant existing data. Primary samples (n = 902) were purchased during peak growing season in Sydney, Melbourne and Perth between June 2021 and May 2022. While new data reflect current growing practices, varieties, climate and analytical methods, few notable differences were found between old and new data where methods of analysis are comparable. The new data will be incorporated into the Australian Food Composition Database, allowing free online access to stakeholders. The approach used could serve as a model for cost-effective updates of national food composition databases worldwide.","Fri, 9 Feb 2024 03:54:35 UTC (377 KB)"
"53","Exploration Without Maps via Zero-Shot Out-of-Distribution Deep Reinforcement Learning","Shathushan Sivashangaran, Apoorva Khairnar, Azim Eskandarian","Robotics (cs.RO)","Operation of Autonomous Mobile Robots (AMRs) of all forms that include wheeled ground vehicles, quadrupeds and humanoids in dynamically changing GPS denied environments without a-priori maps, exclusively using onboard sensors, is an unsolved problem that has potential to transform the economy, and vastly improve humanity's capabilities with improvements to agriculture, manufacturing, disaster response, military and space exploration. Conventional AMR automation approaches are modularized into perception, motion planning and control which is computationally inefficient, and requires explicit feature extraction and engineering, that inhibits generalization, and deployment at scale. Few works have focused on real-world end-to-end approaches that directly map sensor inputs to control outputs due to the large amount of well curated training data required for supervised Deep Learning (DL) which is time consuming and labor intensive to collect and label, and sample inefficiency and challenges to bridging the simulation to reality gap using Deep Reinforcement Learning (DRL). This paper presents a novel method to efficiently train DRL for robust end-to-end AMR exploration, in a constrained environment at physical limits in simulation, transferred zero-shot to the real-world. The representation learned in a compact parameter space with 2 fully connected layers with 64 nodes each is demonstrated to exhibit emergent behavior for out-of-distribution generalization to navigation in new environments that include unstructured terrain without maps, and dynamic obstacle avoidance. The learned policy outperforms conventional navigation algorithms while consuming a fraction of the computation resources, enabling execution on a range of AMR forms with varying embedded computer payloads.","Wed, 7 Feb 2024 18:17:54 UTC (37,746 KB)"
"54","Models, methods and algorithms for monitoring environmental impact on agricultural production","Anvar Kabulov, Ibrokhimali Normatov, Islambek Saymanov, Abdusattar Baizhumanov, Inomjon Yarashov","Physics and Society (physics.soc-ph)","The article analyzes the impact of environmental conditions on agricultural production in the Aral Sea region. The development of mathematical models for solving the problems of optimizing agricultural production, the spread of dust and salt particles from above-ground sources of heavy and light aerosols, depending on meteorological conditions, algorithmic and managerial decision-making methods is scientifically substantiated. It is also proposed to develop methods and tools for interactive analysis of water and soil, models, methods and monitoring algorithms to determine the impact of environmental factors on agricultural production.","Wed, 24 Jan 2024 19:09:01 UTC (754 KB)[v2] Tue, 13 Feb 2024 16:06:02 UTC (1 KB) (withdrawn)"
"55","Gazebo Plants: Simulating Plant-Robot Interaction with Cosserat Rods","Junchen Deng, Samhita Marri, Jonathan Klein, Wojtek Pałubicki, Sören Pirk, Girish Chowdhary, Dominik L. Michels","Robotics (cs.RO)","Robotic harvesting has the potential to positively impact agricultural productivity, reduce costs, improve food quality, enhance sustainability, and to address labor shortage. In the rapidly advancing field of agricultural robotics, the necessity of training robots in a virtual environment has become essential. Generating training data to automatize the underlying computer vision tasks such as image segmentation, object detection and classification, also heavily relies on such virtual environments as synthetic data is often required to overcome the shortage and lack of variety of real data sets. However, physics engines commonly employed within the robotics community, such as ODE, Simbody, Bullet, and DART, primarily support motion and collision interaction of rigid bodies. This inherent limitation hinders experimentation and progress in handling non-rigid objects such as plants and crops. In this contribution, we present a plugin for the Gazebo simulation platform based on Cosserat rods to model plant motion. It enables the simulation of plants and their interaction with the environment. We demonstrate that, using our plugin, users can conduct harvesting simulations in Gazebo by simulating a robotic arm picking fruits and achieve results comparable to real-world experiments.","Sun, 4 Feb 2024 17:19:46 UTC (10,621 KB)"
"56","DeLLMa: A Framework for Decision Making Under Uncertainty with Large Language Models","Ollie Liu, Deqing Fu, Dani Yogatama, Willie Neiswanger","Artificial Intelligence (cs.AI)","Large language models (LLMs) are increasingly used across society, including in domains like business, engineering, and medicine. These fields often grapple with decision-making under uncertainty, a critical yet challenging task. In this paper, we show that directly prompting LLMs on these types of decision-making problems yields poor results, especially as the problem complexity increases. To overcome this limitation, we propose DeLLMa (Decision-making Large Language Model assistant), a framework designed to enhance decision-making accuracy in uncertain environments. DeLLMa involves a multi-step scaffolding procedure, drawing upon principles from decision theory and utility theory, to provide an optimal and human-auditable decision-making process. We validate our framework on decision-making environments involving real agriculture and finance data. Our results show that DeLLMa can significantly improve LLM decision-making performance, achieving up to a 40% increase in accuracy over competing methods.","Sun, 4 Feb 2024 08:11:45 UTC (3,950 KB)"
"57","Enhancing crop classification accuracy by synthetic SAR-Optical data generation using deep learning","Ali Mirzaei, Hossein Bagheri, Iman Khosravi","Computer Vision and Pattern Recognition (cs.CV)","Crop classification using remote sensing data has emerged as a prominent research area in recent decades. Studies have demonstrated that fusing SAR and optical images can significantly enhance the accuracy of classification. However, a major challenge in this field is the limited availability of training data, which adversely affects the performance of classifiers. In agricultural regions, the dominant crops typically consist of one or two specific types, while other crops are scarce. Consequently, when collecting training samples to create a map of agricultural products, there is an abundance of samples from the dominant crops, forming the majority classes. Conversely, samples from other crops are scarce, representing the minority classes. Addressing this issue requires overcoming several challenges and weaknesses associated with traditional data generation methods. These methods have been employed to tackle the imbalanced nature of the training data. Nevertheless, they still face limitations in effectively handling the minority classes. Overall, the issue of inadequate training data, particularly for minority classes, remains a hurdle that traditional methods struggle to overcome. In this research, We explore the effectiveness of conditional tabular generative adversarial network (CTGAN) as a synthetic data generation method based on a deep learning network, in addressing the challenge of limited training data for minority classes in crop classification using the fusion of SAR-optical data. Our findings demonstrate that the proposed method generates synthetic data with higher quality that can significantly increase the number of samples for minority classes leading to better performance of crop classifiers.","Sat, 3 Feb 2024 11:07:50 UTC (7,664 KB)"
"58","Yield forecasting based on short time series with high spatial resolution data","Sayli Pokal, Yuzhen Zhou, Trenton Franz","Applications (stat.AP)","Precision agriculture, also known as site-specific crop management, plays a crucial role in modern agriculture. Yield maps are an essential tool as they help identify the within-field variability that forms the basis of precision agriculture. If farmers could obtain yield maps for their specific site based on their field's soil and weather conditions, then site-specific crop management techniques would be more efficient and profitable. However, forecasting yield and producing reliable yield maps for an individual field can be challenging due to limited historical data. This paper proposes a novel two-stage approach for site-specific yield forecasting based on short-time series and high-resolution yield data. The proposed approach was successfully applied to predict yield maps at three different sites in Nebraska, demonstrating the method's ability to provide fine resolution and accurate yield maps.","Fri, 2 Feb 2024 22:47:32 UTC (1,196 KB)"
"59","Changes in heat waves characteristics over Extremadura (SW Spain)","F. J. Acero, M.I. Fernández-Fernández, V.M.S. Carrasco, S. Parey, T.T. Huong Hoang, D. Dacunha-Castelle, J.A. García","Atmospheric and Oceanic Physics (physics.ao-ph)","Heat wave (HW) events are becoming more frequent, and they have important consequences because of the negative effects they can have not only on the human population in health terms, but also on biodiversity and agriculture. This motivated a study of the trends in HW events over Extremadura, a region in the southwest of Spain, with much of its area in summer devoted to the production of irrigated crops such as maize and tomatoes. Heat waves were defined for the study as two consecutive days with temperatures above the 95th percentile of the summer (June-August) maximum temperature (Tmax) time series. Two datasets were used: one consisted of 13 daily temperature records uniformly distributed over the Region, and the other was the SPAIN02 gridded observational dataset, extracting just the points corresponding to Extremadura. The trends studied were in the duration, intensity, and frequency of HW events, and in other parameters such as the mean, low (25th percentile), and high (75th percentile) values. In general terms, the results showed significant positive trends in those parameters over the east, the northwest, and a small area in the south of the Region. In order to study changes in HW characteristics (duration, frequency and intensity) considering different subperiods, a stochastic model was used to generate 1000 time series equivalent to the observed ones. The results showed that there were no significant changes in HW duration in the last 10-year subperiod in comparison with the first. But the results were different for warm events (WE), defined with a lower threshold (the 75th percentile), which are also important for agriculture. For several sites, there were significant changes in WE duration, frequency, and intensity.","Thu, 1 Feb 2024 11:30:07 UTC (4,365 KB)"
